,mean_z_low,Cell type
HN28_P15_H04_S376_comb,-0.07395436747040163,Non-malignant
HN28_P15_H05_S377_comb,0.5403934101220988,Non-malignant
HN28_P15_H07_S379_comb,-0.11988389825339146,Non-malignant
HN28_P15_H08_S380_comb,0.1584671785104696,Non-malignant
HN28_P15_H09_S381_comb,0.27746733691291914,Non-malignant
HN28_P15_H10_S382_comb,-0.031846340552499415,Non-malignant
HN28_P15_H11_S383_comb,0.46888135353458826,Non-malignant
HN28_P3P4_A01_S1_comb,0.45313770604906367,Non-malignant
HN28_P3P4_A02_S2_comb,2.214700634246733,Non-malignant
HN28_P3P4_A03_S3_comb,-0.13656453037620697,Non-malignant
HN28_P3P4_A04_S4_comb,0.1844221841041537,Non-malignant
HN28_P3P4_A05_S5_comb,0.06796540744245556,Non-malignant
HN28_P3P4_A07_S7_comb,-0.20343555268647892,Non-malignant
HN28_P3P4_A08_S8_comb,0.12712616912909808,Non-malignant
HN28_P3P4_A10_S10_comb,0.06681250039260017,Non-malignant
HN28_P3P4_A11_S11_comb,0.3322472573208545,Non-malignant
HN28_P3P4_A12_S12_comb,0.3631271430473973,Non-malignant
HN28_P3P4_B01_S13_comb,0.31513502613239713,Non-malignant
HN28_P3P4_B02_S14_comb,0.21580744858007297,Non-malignant
HN28_P3P4_B03_S15_comb,0.2647164422615152,Non-malignant
HN28_P3P4_B04_S16_comb,0.11581430660003846,Non-malignant
HN28_P3P4_B05_S17_comb,0.20783447932915086,Non-malignant
HN28_P3P4_B06_S18_comb,0.32409598119046895,Non-malignant
HN28_P3P4_B07_S19_comb,0.021948715337886032,Non-malignant
HN28_P3P4_B08_S20_comb,0.09113398344256449,Non-malignant
HN28_P3P4_B09_S21_comb,0.134734438661317,Non-malignant
HN28_P3P4_B10_S22_comb,-0.18703248909440062,Non-malignant
HN28_P3P4_B11_S23_comb,0.7836888791750563,Non-malignant
HN28_P3P4_C01_S25_comb,0.03502112018980423,Non-malignant
HN28_P3P4_C02_S26_comb,0.020066323950094275,Non-malignant
HN28_P3P4_C03_S27_comb,0.1744989586798512,Non-malignant
HN28_P3P4_C04_S28_comb,0.6165620830937889,Non-malignant
HN28_P3P4_C05_S29_comb,0.37659272253273407,Non-malignant
HN28_P3P4_C06_S30_comb,-0.15837080856815136,Non-malignant
HN28_P3P4_C07_S31_comb,-0.14856201117223103,Non-malignant
HN28_P3P4_C08_S32_comb,0.08203087453272292,Non-malignant
HN28_P3P4_C09_S33_comb,0.0118075643768018,Non-malignant
HN28_P3P4_C10_S34_comb,-0.23338852767562257,Non-malignant
HN28_P3P4_C11_S35_comb,0.04864445936810306,Non-malignant
HN28_P3P4_C12_S36_comb,0.016323344800116737,Non-malignant
HN28_P3P4_D02_S38_comb,0.42797905771365713,Non-malignant
HN28_P3P4_D03_S39_comb,0.2914473823122154,Non-malignant
HN28_P3P4_D04_S40_comb,0.004954729972036414,Non-malignant
HN28_P3P4_D06_S42_comb,0.11780617113600422,Non-malignant
HN28_P3P4_D08_S44_comb,0.04617778616472835,Non-malignant
HN28_P3P4_D10_S46_comb,-0.1737334658815284,Non-malignant
HN28_P3P4_D12_S48_comb,-0.15650551280498415,Non-malignant
HN28_P3P4_E02_S50_comb,0.1082882519639839,Non-malignant
HN28_P3P4_E03_S51_comb,0.28959952702561986,Non-malignant
HN28_P3P4_E04_S52_comb,-0.020652096102023402,Non-malignant
HN28_P3P4_E05_S53_comb,-0.13014771446770276,Non-malignant
HN28_P3P4_E06_S54_comb,0.05799997375497205,Non-malignant
HN28_P3P4_E07_S55_comb,0.37947590857276503,Non-malignant
HN28_P3P4_E08_S56_comb,0.2952445349095215,Non-malignant
HN28_P3P4_E09_S57_comb,-0.021615127461773926,Non-malignant
HN28_P3P4_E10_S58_comb,0.17088164282590945,Non-malignant
