,mean_z_high,Cell type,mean_z_low
HN26_P26_D10_S334_comb,-0.25169385111320314,Non-malignant,-0.11762638065638543
HN26_P26_G10_S370_comb,0.33603125738133066,Non-malignant,-0.024595909749081393
HN26_P5_B04_S16_comb,-0.06789957042800043,Non-malignant,-0.17760636353834072
HN26_P5_C03_S27_comb,-0.02807813155601724,Non-malignant,0.024590102360216307
HN26_P5_C07_S31_comb,-0.3024313501073988,Non-malignant,0.08131455764488059
HN26_P5_C11_S35_comb,-0.013502113318786103,Non-malignant,-0.052427517228638004
HN26_P5_C12_S36_comb,-0.3353685213745982,Non-malignant,0.046052579127911046
HN26_P5_D02_S38_comb,-0.37774240379000573,Non-malignant,-0.1379270301294354
HN26_P5_D12_S48_comb,-0.10649924994009988,Non-malignant,-0.11362281875326241
HN26_P5_E01_S49_comb,-0.28535985914938555,Non-malignant,0.006272763430155715
HN26_P5_E02_S50_comb,0.04575408305602281,Non-malignant,0.000127297503655385
HN26_P5_E03_S51_comb,-0.14655233255645453,Non-malignant,0.16203079824719724
HN26_P5_E08_S56_comb,-0.3907924597502932,Non-malignant,-0.03857085003964061
HN26_P5_E12_S60_comb,-0.20167537665205357,Non-malignant,-0.026397588456315166
HN26_P5_F01_S61_comb,-0.16891653447529495,Non-malignant,0.15749797792190537
HN26_P5_F03_S63_comb,-0.38076536116821297,Non-malignant,0.11765053651912451
HN26_P5_F05_S65_comb,-0.2259056239755471,Non-malignant,0.023677129595197396
HN26_P5_F06_S66_comb,-0.3560290094707283,Non-malignant,-0.19513663178992882
HN26_P5_F12_S72_comb,-0.1187961581295766,Non-malignant,0.22192139050832713
HN26_P5_G02_S74_comb,-0.36654783261436824,Non-malignant,0.2617281144191519
HN26_P5_G03_S75_comb,0.15982462082264393,Non-malignant,0.5610498412262754
HN26_P5_G08_S80_comb,-0.25267305725411243,Non-malignant,0.43883004921824686
HN26_P5_G11_S83_comb,-0.2083963541422082,Non-malignant,-0.1477694547737197
HN26_P5_G12_S84_comb,-0.36290711404476794,Non-malignant,0.11808800786400037
HN26_P5_H04_S88_comb,0.022893325802989854,Non-malignant,0.27028975900452096
HN26_P6_A08_S8_comb,0.14831417514028436,Non-malignant,0.21505192379329985
HN26_P6_B01_S13_comb,-0.2735019627595532,Non-malignant,0.2362878379073971
HN26_P6_B06_S18_comb,0.06843745735273472,Non-malignant,-0.1748425714386363
HN26_P6_B07_S19_comb,-0.19374015963830485,Non-malignant,0.11652834875509545
HN26_P6_B09_S21_comb,-0.3783209411810609,Non-malignant,-0.11532461477556233
HN26_P6_C01_S25_comb,-0.14998442996371028,Non-malignant,0.26379584255188027
HN26_P6_E01_S49_comb,-0.0695338562489496,Non-malignant,-0.007279236530918733
HN26_P6_E02_S50_comb,0.05909037131114525,Non-malignant,0.2898315500327525
HN26_P6_F03_S63_comb,-0.3755723983915591,Non-malignant,0.003844104813595003
HN26_P6_F07_S67_comb,0.13308903536466044,Non-malignant,0.48731091866112203
HN26_P6_F08_S68_comb,-0.34181781202155836,Non-malignant,0.04485802513702577
HN26_P6_F09_S69_comb,-0.27439205565711594,Non-malignant,0.3745295984313451
HN26_P6_G03_S75_comb,-0.2833053190344448,Non-malignant,0.21394824279406746
HN26_P6_G04_S76_comb,-0.3907924597502932,Non-malignant,-0.13048985929175652
HN26_P6_H05_S89_comb,-0.3907924597502932,Non-malignant,-0.00931260224959919
HN26_P6_H11_S95_comb,-0.15646555652515215,Non-malignant,-0.09734452506289572
HN26_P6_H12_S96_comb,0.01225904575294225,Non-malignant,-0.06113824785245461
HN28_P14_A02_S98_comb,0.14859283483103278,Non-malignant,0.6563409092748752
HN28_P14_A03_S99_comb,-0.35059461010313664,Non-malignant,0.6592020226269691
HN28_P14_A04_S100_comb,0.08329228715753094,Non-malignant,-0.16090117517711336
HN28_P14_A08_S104_comb,0.26395876089400994,Non-malignant,0.4167967971847886
HN28_P14_A09_S105_comb,0.053021089099625045,Non-malignant,0.2716002447031384
HN28_P14_B03_S111_comb,-0.04112479943389572,Non-malignant,0.00924728402599443
HN28_P14_B04_S112_comb,-0.21386157242652903,Non-malignant,-0.10784283881718014
HN28_P14_B05_S113_comb,-0.2720399946190114,Non-malignant,-0.13179937170355385
HN28_P14_B08_S116_comb,-0.1137523144314684,Non-malignant,-0.19913896811653203
HN28_P14_B09_S117_comb,0.12566547419877777,Non-malignant,0.4345668414002176
HN28_P14_B10_S118_comb,-0.14731270861319257,Non-malignant,0.04733991249209303
HN28_P14_B11_S119_comb,0.1020699265772959,Non-malignant,0.09711797185754432
HN28_P14_B12_S120_comb,-0.03055684824890366,Non-malignant,0.32130790535826215
HN28_P14_C01_S121_comb,0.10930080582818452,Non-malignant,-0.2684517968905647
HN28_P14_C02_S122_comb,0.23203022751891314,Non-malignant,0.1117270072128685
HN28_P14_C04_S124_comb,0.06354356678804009,Non-malignant,-0.07763996994966367
HN28_P14_C05_S125_comb,0.0890270638555107,Non-malignant,0.1578900364076738
HN28_P14_C09_S129_comb,-0.08589952874336805,Non-malignant,0.5133670977051887
HN28_P14_C12_S132_comb,-0.14377630393990504,Non-malignant,0.3742699352824365
HN28_P14_D02_S134_comb,-0.3730868163013997,Non-malignant,0.20360087040700223
HN28_P14_D05_S137_comb,0.11451370280449275,Non-malignant,0.0862643443996503
HN28_P14_D06_S138_comb,-0.09165201429171038,Non-malignant,0.3650074237903026
HN28_P14_D08_S140_comb,-0.13274990782857207,Non-malignant,0.09925496714702253
HN28_P14_D09_S141_comb,-0.38609263974824665,Non-malignant,0.3491128886564082
HN28_P14_D10_S142_comb,0.4411487880344979,Non-malignant,-0.0041109733497049165
HN28_P14_E01_S145_comb,0.35241834343275114,Non-malignant,-0.22867713583029434
HN28_P14_E02_S146_comb,-0.16250438196571843,Non-malignant,0.3087361801855248
HN28_P14_E03_S147_comb,-0.06643679311816586,Non-malignant,0.02421287415143517
HN28_P14_E06_S150_comb,-0.3059182584430197,Non-malignant,0.19682995350583335
HN28_P14_E07_S151_comb,-0.19251539362786652,Non-malignant,0.310979965294212
HN28_P14_E09_S153_comb,0.1411487930618091,Non-malignant,0.15427496348853095
HN28_P14_E10_S154_comb,-0.3700977822670786,Non-malignant,0.08243730832064065
HN28_P14_E11_S155_comb,-0.1961064386227894,Non-malignant,0.46074081417744145
